toi,tid,tfopwg_disp,rastr,ra,decstr,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
1014.01,96246348,PC,06h54m14.78s,103.5616020,-34d13m22.15s,-34.2228200,1.4095043,0.0000111,-0.0000111,0,1.3502669,0.0148086,-0.0148086,0,,,,0,1650.4441307,,,,1625.6234538,,,,7.6780000,0.012,-0.012,0,9307.0000000,938.9000000,-938.9000000,0,,,,0,,,,0
1015.01,155044736,PC,08h11m35.03s,122.8959640,-27d58m18.83s,-27.9718960,1.3734992,0.0002082,-0.0002082,0,1.6528441,0.4043249,-0.4043249,0,21.9288943,23.9754000,-23.9754000,0,3159.2442220,,,,1912.1217852,,,,10.7069000,0.008,-0.008,0,4897.0000000,122.0000000,-122.0000000,0,,,,0,6.7996100,,,0
1016.01,175310067,FP,07h44m26.59s,116.1107710,-36d05m53.83s,-36.0982850,12.6889415,0.0095088,-0.0095088,0,7.9201001,0.5393766,-0.5393766,0,14.0608342,15.2415910,-15.2415910,0,425.1594177,,,,1158.1310368,,,,10.6257000,0.006,-0.006,0,7601.0000000,135.8000000,-135.8000000,0,4.3100000,0.0800000,-0.0800000,0,1.5364100,0.0479799,-0.0479799,0
1017.01,182943944,FP,08h18m54.34s,124.7264110,-37d46m59.7s,-37.7832500,1.1042200,0.0001300,-0.0001300,0,2.3700000,0.0620000,-0.0620000,0,21.0448000,5.2201200,-5.2201200,0,39459.3000000,,,,3926.0000000,,,,10.6019000,0.006,-0.006,0,6995.2000000,157.0000000,-157.0000000,0,4.0700000,0.5500000,-0.5500000,0,1.6100000,0.0700000,-0.0700000,0
1018.01,291555748,FP,07h26m51.84s,111.7160190,-50d15m59.64s,-50.2665670,4.9591200,0.0001600,-0.0001600,0,2.5090000,0.1300000,-0.1300000,0,22.9123000,3.2805500,-3.2805500,0,673.5500000,,,,1419.0000000,,,,10.6254000,0.006,-0.006,0,5889.0000000,124.3000000,-124.3000000,0,3.8600000,0.0700000,-0.0700000,0,2.0000000,0.0900000,-0.0900000,0
1019.01,341420329,PC,08h00m35.52s,120.1479940,-54d52m42.79s,-54.8785520,5.2340964,0.0000266,-0.0000266,0,3.6909047,0.0163885,-0.0163885,0,24.0878820,0.7445164,-0.7445164,0,1453.6680068,,,,1574.8386241,,,,10.6348000,0.006,-0.006,0,7645.0000000,134.4000000,-134.4000000,0,4.3000000,0.0800000,-0.0800000,0,1.5620300,0.0481257,-0.0481257,0
102.01,149603524,KP,05h48m33.56s,87.1398210,-63d59m17.98s,-63.9883290,4.4119288,0.0000158,-0.0000158,0,3.8940000,0.0800000,-0.0800000,0,15.2023000,0.6928490,-0.6928490,0,999.8330000,,,,1566.0000000,,,,9.7109000,0.006,-0.006,0,6280.0000000,,,0,4.3209200,,,0,1.2100000,0.0500000,-0.0500000,0
1020.01,140706664,FP,08h33m31.67s,128.3819760,-43d49m42.32s,-43.8284210,3.2889200,0.0006600,-0.0006600,0,3.7930000,0.2020000,-0.2020000,0,,,,0,29832.6000000,,,,3661.0000000,,,,10.7173000,0.013,-0.013,0,8734.2000000,283.6000000,-283.6000000,0,4.1000000,1.4500000,-1.4500000,0,,,,0
1021.01,143994283,FP,07h57m12.18s,119.3007500,-42d59m56.94s,-42.9991490,1.9087900,0.0003500,-0.0003500,0,1.9090000,0.2310000,-0.2310000,0,3.3468800,0.2177490,-0.2177490,0,985.8070000,,,,1561.0000000,,,,10.5551000,0.006,-0.006,0,6022.6000000,133.5000000,-133.5000000,0,4.5200000,0.3900000,-0.3900000,0,1.2200000,0.0500000,-0.0500000,0
1022.01,47384844,PC,10h51m51.58s,162.9649100,-05d47m19.35s,-5.7887080,3.0957400,0.0067700,-0.0067700,0,4.4750000,1.1960000,-1.1960000,0,3.4262000,0.7787130,-0.7787130,0,18087.9000000,,,,3230.0000000,,,,8.7292400,0.007,-0.007,0,6084.0000000,111.0000000,-111.0000000,0,4.1300000,0.3000000,-0.3000000,0,1.4100000,0.0500000,-0.0500000,0
